Archivo;Año;Mes Num;Mes;Concepto;Grupo;Importe;Total Recibo;Pagado;Deuda
7.pdf;2020;7;JULIO;CUOTACOMUNIDAD;;72,24;92,99;92,99;0,00
7.pdf;2020;7;JULIO;ACS-AGUA CALIENTE;;20,75;92,99;92,99;0,00
8.pdf;2020;8;AGOSTO;ACS;L.ANT:460,20 L.ACT:463,45=3,25;14,63;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;ADMINISTRACION;ADMINISTRACION;2,66;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;COMISIONES BANCARIAS;PRESUPUESTO;0,25;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;CONSUMO DE AGUA;PRESUPUESTO;0,47;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;OBRAS Y MEJORAS;PRESUPUESTO;1,26;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;TERMINO FIJO GAS NATURAL;GAS NATURAL,ACS Y CALEFACCION;5,57;86,87;86,87;0,00
8.pdf;2020;8;AGOSTO;TERMINO VARIABLE GAS NATURAL GAS NATURAL,ACS Y CALEFACCION;;6,64;86,87;86,87;0,00
9.pdf;2020;9;SEPTIEMBRE;ACS;L.ANT:463,45 L.ACT:465,35=1,90;8,55;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;ADMINISTRACION;ADMINISTRACION;2,66;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;COMISIONES BANCARIAS;PRESUPUESTO;0,25;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;CONSUMO AGUA CALDERA;GAS NATURAL,ACS Y CALEFACCION;1,38;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;CONSUMO DE AGUA;PRESUPUESTO;0,47;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;CONSUMO ELECTRICO GARAJE;PRESUPUESTO;7,17;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;CONSUMO ELECTRICO PORTALES;PRESUPUESTO;7,17;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;FONDO DE PROVISION AL 5%;FONDO DE PROVISIÓN AL 5%;2,17;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;LIMPIEZA DE LA COMUNIDAD;PRESUPUESTO;9,11;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;MANTENIMIENTO ASCENSORES;PRESUPUESTO;18,50;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;MANTENIMIENTO CALDERA;GAS NATURAL,ACS Y CALEFACCION;8,30;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;MANTENIMIENTO DE EXTINCION DE PRESUPUESTO INCENDIOS;;1,59;80,79;80,79;0,00
9.pdf;2020;9;SEPTIEMBRE;OBRAS Y MEJORAS;PRESUPUESTO;1,26;80,79;80,79;0,00
